user_id,signup_date,signup_source,onboarding_completed,observed_through_date,days_to_conversion_or_censoring,converted
1,2024-04-24,referral,False,2024-06-01,4.9,1
2,2024-05-23,organic,False,2024-06-01,9.0,0
3,2024-04-15,referral,True,2024-06-01,7.5,1
4,2024-05-19,paid,False,2024-06-01,13.0,0
5,2024-05-27,organic,True,2024-06-01,5.0,0
6,2024-04-21,partner,False,2024-06-01,8.9,1
7,2024-04-07,referral,False,2024-06-01,22.9,1
8,2024-03-22,referral,True,2024-06-01,6.8,1
9,2024-03-28,organic,True,2024-06-01,8.5,1
10,2024-03-21,paid,False,2024-06-01,30.0,0
11,2024-03-30,organic,True,2024-06-01,13.3,1
12,2024-04-03,partner,False,2024-06-01,9.3,1
13,2024-06-01,paid,False,2024-06-01,0.0,0
14,2024-04-10,referral,False,2024-06-01,16.6,1
15,2024-05-22,organic,True,2024-06-01,2.0,1
16,2024-05-28,organic,False,2024-06-01,4.0,0
17,2024-05-19,paid,False,2024-06-01,12.5,1
18,2024-03-24,organic,True,2024-06-01,14.5,1
19,2024-03-31,referral,True,2024-06-01,5.0,1
20,2024-03-14,paid,True,2024-06-01,4.9,1
21,2024-03-11,referral,True,2024-06-01,9.9,1
22,2024-03-18,organic,False,2024-06-01,1.6,1
23,2024-05-21,partner,True,2024-06-01,2.6,1
24,2024-03-20,referral,False,2024-06-01,12.5,1
25,2024-03-23,referral,True,2024-06-01,4.8,1
26,2024-03-20,organic,True,2024-06-01,11.8,1
27,2024-05-20,paid,True,2024-06-01,5.8,1
28,2024-05-23,organic,False,2024-06-01,9.0,0
29,2024-03-16,organic,False,2024-06-01,30.0,0
30,2024-05-18,paid,True,2024-06-01,14.0,0
31,2024-05-02,paid,False,2024-06-01,21.0,1
32,2024-04-24,partner,True,2024-06-01,2.5,1
33,2024-05-22,organic,True,2024-06-01,10.0,0
34,2024-05-31,organic,True,2024-06-01,1.0,0
35,2024-03-10,paid,False,2024-06-01,17.3,1
36,2024-03-20,organic,False,2024-06-01,28.2,1
37,2024-03-17,organic,False,2024-06-01,7.1,1
38,2024-05-09,paid,True,2024-06-01,8.9,1
39,2024-05-14,organic,True,2024-06-01,15.2,1
40,2024-04-27,paid,False,2024-06-01,30.0,0
41,2024-04-24,organic,True,2024-06-01,23.2,1
42,2024-06-01,referral,False,2024-06-01,0.0,0
43,2024-03-28,paid,False,2024-06-01,20.1,1
44,2024-03-10,organic,True,2024-06-01,10.2,1
45,2024-04-18,referral,False,2024-06-01,16.4,1
46,2024-04-30,referral,False,2024-06-01,26.2,1
47,2024-04-30,organic,True,2024-06-01,17.6,1
48,2024-05-24,organic,False,2024-06-01,8.0,0
49,2024-05-10,paid,False,2024-06-01,1.3,1
50,2024-04-20,organic,True,2024-06-01,14.4,1
51,2024-04-26,organic,False,2024-06-01,30.0,0
52,2024-04-17,organic,True,2024-06-01,10.7,1
53,2024-03-22,referral,False,2024-06-01,3.8,1
54,2024-05-14,paid,False,2024-06-01,9.0,1
55,2024-05-30,paid,False,2024-06-01,2.0,0
56,2024-05-29,referral,True,2024-06-01,2.1,1
57,2024-05-21,paid,False,2024-06-01,11.0,0
58,2024-04-15,paid,True,2024-06-01,0.6,1
59,2024-03-26,organic,True,2024-06-01,29.6,1
60,2024-03-19,organic,True,2024-06-01,5.8,1
61,2024-04-09,paid,False,2024-06-01,7.1,1
62,2024-04-29,paid,True,2024-06-01,3.1,1
63,2024-05-20,paid,True,2024-06-01,10.1,1
64,2024-04-29,referral,False,2024-06-01,6.8,1
65,2024-05-05,paid,True,2024-06-01,15.8,1
66,2024-03-20,paid,True,2024-06-01,8.2,1
67,2024-04-22,paid,True,2024-06-01,12.2,1
68,2024-05-13,organic,True,2024-06-01,10.4,1
69,2024-05-08,organic,False,2024-06-01,14.9,1
70,2024-05-21,organic,True,2024-06-01,11.0,0
71,2024-03-16,organic,True,2024-06-01,19.0,1
72,2024-05-28,organic,False,2024-06-01,4.0,0
73,2024-05-31,referral,False,2024-06-01,1.0,0
74,2024-05-17,organic,False,2024-06-01,14.8,1
75,2024-03-25,organic,False,2024-06-01,12.8,1
76,2024-04-19,organic,False,2024-06-01,30.0,0
77,2024-04-10,organic,True,2024-06-01,6.1,1
78,2024-05-02,paid,False,2024-06-01,11.6,1
79,2024-05-27,paid,False,2024-06-01,5.0,0
80,2024-03-22,referral,True,2024-06-01,9.5,1
81,2024-05-16,paid,True,2024-06-01,10.3,1
82,2024-05-30,organic,True,2024-06-01,2.0,0
83,2024-04-14,referral,False,2024-06-01,22.9,1
84,2024-05-26,organic,False,2024-06-01,6.0,0
85,2024-05-24,organic,False,2024-06-01,8.0,0
86,2024-03-26,organic,True,2024-06-01,24.3,1
87,2024-04-21,paid,True,2024-06-01,14.0,1
88,2024-05-12,paid,True,2024-06-01,4.9,1
89,2024-05-03,organic,True,2024-06-01,11.7,1
90,2024-04-01,paid,False,2024-06-01,18.4,1
91,2024-05-27,organic,False,2024-06-01,5.0,0
92,2024-05-23,paid,False,2024-06-01,9.0,0
93,2024-04-11,organic,False,2024-06-01,30.0,0
94,2024-04-12,organic,False,2024-06-01,30.0,0
95,2024-03-12,organic,True,2024-06-01,18.8,1
96,2024-05-01,paid,True,2024-06-01,8.3,1
97,2024-05-27,organic,True,2024-06-01,5.0,0
98,2024-04-17,organic,True,2024-06-01,14.6,1
99,2024-04-09,organic,True,2024-06-01,11.1,1
100,2024-05-21,partner,True,2024-06-01,1.4,1
101,2024-04-16,partner,False,2024-06-01,17.4,1
102,2024-05-16,paid,True,2024-06-01,9.5,1
103,2024-03-23,organic,False,2024-06-01,21.0,1
104,2024-03-23,partner,False,2024-06-01,8.7,1
105,2024-04-26,referral,False,2024-06-01,7.9,1
106,2024-03-12,paid,False,2024-06-01,10.5,1
107,2024-03-11,organic,True,2024-06-01,19.5,1
108,2024-05-22,organic,False,2024-06-01,10.0,0
109,2024-05-02,organic,True,2024-06-01,6.3,1
110,2024-04-12,partner,False,2024-06-01,15.7,1
111,2024-05-25,paid,True,2024-06-01,1.2,1
112,2024-04-30,organic,True,2024-06-01,15.1,1
113,2024-05-11,organic,False,2024-06-01,20.5,1
114,2024-03-14,paid,False,2024-06-01,17.0,1
115,2024-04-28,organic,True,2024-06-01,13.6,1
116,2024-03-29,referral,False,2024-06-01,5.6,1
117,2024-04-30,referral,True,2024-06-01,12.7,1
118,2024-05-21,paid,False,2024-06-01,11.0,0
119,2024-03-21,organic,True,2024-06-01,10.0,1
120,2024-06-01,paid,True,2024-06-01,0.0,0
121,2024-05-28,paid,True,2024-06-01,4.0,0
122,2024-05-02,paid,True,2024-06-01,2.0,1
123,2024-04-05,organic,True,2024-06-01,5.0,1
124,2024-05-04,organic,True,2024-06-01,15.4,1
125,2024-05-27,organic,True,2024-06-01,5.0,0
126,2024-05-06,paid,True,2024-06-01,2.1,1
127,2024-05-12,organic,True,2024-06-01,17.8,1
128,2024-06-01,organic,True,2024-06-01,0.0,0
129,2024-04-18,organic,False,2024-06-01,28.5,1
130,2024-05-23,paid,False,2024-06-01,9.0,0
131,2024-05-08,organic,True,2024-06-01,24.0,0
132,2024-04-09,partner,False,2024-06-01,8.3,1
133,2024-04-02,paid,True,2024-06-01,11.1,1
134,2024-05-10,organic,True,2024-06-01,10.6,1
135,2024-05-05,paid,False,2024-06-01,27.0,0
136,2024-05-12,organic,False,2024-06-01,14.2,1
137,2024-03-13,partner,False,2024-06-01,13.1,1
138,2024-05-16,paid,True,2024-06-01,7.9,1
139,2024-05-17,referral,False,2024-06-01,15.0,0
140,2024-04-25,organic,True,2024-06-01,21.6,1
141,2024-05-17,paid,True,2024-06-01,10.8,1
142,2024-05-19,paid,True,2024-06-01,2.5,1
143,2024-05-24,partner,False,2024-06-01,8.0,0
144,2024-04-09,paid,True,2024-06-01,7.1,1
145,2024-04-11,paid,False,2024-06-01,30.0,0
146,2024-04-08,organic,False,2024-06-01,13.5,1
147,2024-03-29,organic,False,2024-06-01,30.0,0
148,2024-05-05,paid,False,2024-06-01,17.6,1
149,2024-03-16,organic,False,2024-06-01,25.0,1
150,2024-04-01,organic,True,2024-06-01,23.1,1
151,2024-03-26,referral,True,2024-06-01,9.3,1
152,2024-04-02,referral,False,2024-06-01,15.4,1
153,2024-05-02,organic,True,2024-06-01,11.8,1
154,2024-05-09,paid,True,2024-06-01,1.6,1
155,2024-04-27,organic,True,2024-06-01,12.8,1
156,2024-05-24,paid,True,2024-06-01,3.1,1
157,2024-04-25,organic,True,2024-06-01,13.0,1
158,2024-05-29,paid,True,2024-06-01,3.0,0
159,2024-06-01,paid,False,2024-06-01,0.0,0
160,2024-03-15,referral,True,2024-06-01,8.5,1
161,2024-04-05,organic,False,2024-06-01,26.7,1
162,2024-04-15,partner,False,2024-06-01,5.5,1
163,2024-05-04,organic,True,2024-06-01,8.9,1
164,2024-04-15,organic,False,2024-06-01,17.9,1
165,2024-03-19,paid,False,2024-06-01,16.5,1
166,2024-04-08,organic,False,2024-06-01,23.9,1
167,2024-04-12,referral,True,2024-06-01,6.1,1
168,2024-04-24,referral,True,2024-06-01,13.5,1
169,2024-05-03,organic,True,2024-06-01,20.9,1
170,2024-04-04,partner,False,2024-06-01,17.7,1
171,2024-03-11,organic,False,2024-06-01,30.0,0
172,2024-04-27,paid,False,2024-06-01,11.9,1
173,2024-04-30,organic,False,2024-06-01,30.0,0
174,2024-04-27,partner,False,2024-06-01,22.4,1
175,2024-04-27,organic,False,2024-06-01,7.1,1
176,2024-03-10,organic,True,2024-06-01,0.5,1
177,2024-04-03,organic,False,2024-06-01,20.8,1
178,2024-05-02,partner,True,2024-06-01,7.9,1
179,2024-05-01,referral,True,2024-06-01,4.2,1
180,2024-04-26,paid,True,2024-06-01,23.4,1
181,2024-05-29,referral,False,2024-06-01,3.0,0
182,2024-04-18,referral,True,2024-06-01,14.3,1
183,2024-03-25,paid,True,2024-06-01,11.4,1
184,2024-04-07,organic,True,2024-06-01,1.5,1
185,2024-05-16,referral,True,2024-06-01,4.5,1
186,2024-04-01,paid,True,2024-06-01,1.2,1
187,2024-04-02,organic,False,2024-06-01,12.6,1
188,2024-05-10,organic,False,2024-06-01,17.0,1
189,2024-04-10,paid,True,2024-06-01,5.9,1
190,2024-04-11,organic,True,2024-06-01,9.2,1
191,2024-03-23,partner,True,2024-06-01,8.3,1
192,2024-05-21,organic,True,2024-06-01,11.0,0
193,2024-05-16,organic,False,2024-06-01,16.0,0
194,2024-04-22,referral,False,2024-06-01,17.7,1
195,2024-05-29,organic,False,2024-06-01,3.0,0
196,2024-04-28,organic,True,2024-06-01,21.6,1
197,2024-03-27,paid,False,2024-06-01,14.6,1
198,2024-05-20,referral,True,2024-06-01,10.9,1
199,2024-04-24,organic,True,2024-06-01,16.8,1
200,2024-03-10,organic,False,2024-06-01,20.4,1
201,2024-04-20,referral,False,2024-06-01,20.9,1
202,2024-04-21,partner,False,2024-06-01,2.6,1
203,2024-04-16,paid,False,2024-06-01,17.7,1
204,2024-05-17,organic,False,2024-06-01,15.0,0
205,2024-05-20,organic,False,2024-06-01,12.0,0
206,2024-04-06,organic,True,2024-06-01,5.6,1
207,2024-04-29,organic,True,2024-06-01,9.8,1
208,2024-05-08,paid,True,2024-06-01,11.1,1
209,2024-05-30,organic,True,2024-06-01,2.0,0
210,2024-03-22,paid,True,2024-06-01,6.1,1
